15 Mar 2023 - 16:28:36.106 [restartedMain] INFO  c.Shop.JewlleryShopSystemApplication - Starting JewlleryShopSystemApplication using Java 17.0.4.1 with PID 8712 (D:\java\javaprograms\Jewllery-shop-system\target\classes started by Acer in D:\java\javaprograms\Jewllery-shop-system)
15 Mar 2023 - 16:28:36.135 [restartedMain] INFO  c.Shop.JewlleryShopSystemApplication - No active profile set, falling back to 1 default profile: "default"
15 Mar 2023 - 16:28:36.306 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15 Mar 2023 - 16:28:36.316 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 2 JPA repository interfaces.
15 Mar 2023 - 16:28:36.405 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
15 Mar 2023 - 16:28:36.406 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15 Mar 2023 - 16:28:36.406 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
15 Mar 2023 - 16:28:36.423 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15 Mar 2023 - 16:28:36.424 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 287 ms
15 Mar 2023 - 16:28:36.537 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15 Mar 2023 - 16:28:36.550 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Starting...
15 Mar 2023 - 16:28:36.598 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-10 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1df25663
15 Mar 2023 - 16:28:36.598 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Start completed.
15 Mar 2023 - 16:28:36.599 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
15 Mar 2023 - 16:28:36.600 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
15 Mar 2023 - 16:28:36.783 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15 Mar 2023 - 16:28:36.784 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15 Mar 2023 - 16:28:36.974 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15 Mar 2023 - 16:28:37.074 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
15 Mar 2023 - 16:28:37.086 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
15 Mar 2023 - 16:28:37.091 [restartedMain] INFO  c.Shop.JewlleryShopSystemApplication - Started JewlleryShopSystemApplication in 1.132 seconds (process running for 6859.628)
15 Mar 2023 - 16:28:37.093 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
15 Mar 2023 - 16:31:50.794 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 3 class path changes (0 additions, 0 deletions, 3 modifications)
15 Mar 2023 - 16:31:50.898 [Thread-38] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
15 Mar 2023 - 16:31:50.921 [Thread-38] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15 Mar 2023 - 16:31:50.922 [Thread-38] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown initiated...
15 Mar 2023 - 16:31:50.947 [Thread-38] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown completed.
15 Mar 2023 - 16:31:54.024 [restartedMain] INFO  c.Shop.JewlleryShopSystemApplication - Starting JewlleryShopSystemApplication using Java 17.0.4.1 with PID 8712 (D:\java\javaprograms\Jewllery-shop-system\target\classes started by Acer in D:\java\javaprograms\Jewllery-shop-system)
15 Mar 2023 - 16:31:54.024 [restartedMain] INFO  c.Shop.JewlleryShopSystemApplication - No active profile set, falling back to 1 default profile: "default"
15 Mar 2023 - 16:31:54.282 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15 Mar 2023 - 16:31:54.296 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 2 JPA repository interfaces.
15 Mar 2023 - 16:31:54.391 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
15 Mar 2023 - 16:31:54.391 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15 Mar 2023 - 16:31:54.391 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
15 Mar 2023 - 16:31:54.405 [restartedMain] INFO  o.a.c.c.C.[Tomcat-2].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15 Mar 2023 - 16:31:54.406 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 379 ms
15 Mar 2023 - 16:31:54.439 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15 Mar 2023 - 16:31:54.446 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Starting...
15 Mar 2023 - 16:31:54.466 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-11 - Added connection com.mysql.cj.jdbc.ConnectionImpl@13037640
15 Mar 2023 - 16:31:54.467 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Start completed.
15 Mar 2023 - 16:31:54.467 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
15 Mar 2023 - 16:31:54.467 [restartedMain] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
15 Mar 2023 - 16:31:54.579 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15 Mar 2023 - 16:31:54.579 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15 Mar 2023 - 16:31:54.918 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15 Mar 2023 - 16:31:55.102 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
15 Mar 2023 - 16:31:55.116 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
15 Mar 2023 - 16:31:55.120 [restartedMain] INFO  c.Shop.JewlleryShopSystemApplication - Started JewlleryShopSystemApplication in 1.131 seconds (process running for 7057.657)
15 Mar 2023 - 16:31:55.121 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
15 Mar 2023 - 16:32:13.201 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 24 class path changes (0 additions, 0 deletions, 24 modifications)
15 Mar 2023 - 16:32:13.211 [Thread-42] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
15 Mar 2023 - 16:32:13.215 [Thread-42] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15 Mar 2023 - 16:32:13.216 [Thread-42] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Shutdown initiated...
